game_id,app_name,project,company,online
1001,클랜즈:달의 그림자,클랜즈,DEFAULT,2
1002,天堂战记（韩国-1store）,天堂战记,DEFAULT,1
1003,클랜즈:달의 그림자(CBT),클랜즈,DEFAULT,1
1004,battlefield,吃鸡,乐趣科技,1
1005,영웅신검,仙剑四韩国,DEFAULT,1
1006,Legend of Agress,Legend of Agress,掌沃科技,1
1007,영웅신검 CBT,仙剑四韩国,DEFAULT,1
1008,加勒比海盜,加勒比海盗,DEFAULT,1
1009,海盗港澳台CBT,加勒比海盗,DEFAULT,1
1015,Bubble Shooter,泡泡龙,DEFAULT,1
1022,Bubble Shooter,泡泡龙,DEFAULT,1
1023,Bubble Shooter,泡泡龙,DEFAULT,1
1030,Bubble Shooter,泡泡龙,DEFAULT,1
1037,Bubble Shooter-mint,泡泡龙,DEFAULT,1
1043,BubbleShooter.mint.samsung,泡泡龙,DEFAULT,1
1050,BubbleShooter.mint-iONE,泡泡龙,DEFAULT,1
1057,BubbleShooter.mint-联想,泡泡龙,DEFAULT,1
1059,绝境-茄子,绝境反击,DEFAULT,1
1064,代号love,Bullet Angel,DEFAULT,2
1066,com.seasungames.dhlove,Bullet Angel,DEFAULT,1
1072,BubbleShooter-传音plam商店,泡泡龙,DEFAULT,1
1078,BubbleShooter-传音aha商店,泡泡龙,DEFAULT,1
1085,SDKTest,测试应用,DEFAULT,2
1086,BubbleShooter-globalbattle,泡泡龙,DEFAULT,1
1092,代号love-google推荐版,Bullet Angel,DEFAULT,1
1099,金山麻雀,金山麻雀,DEFAULT,2
1106,Battlefield Royale - The One,绝境反击,DEFAULT,2
1113,bubble shooter - shareit,泡泡龙,DEFAULT,1
1115,bubble shooter - OPPO,泡泡龙,DEFAULT,1
1120,bubble shooter - VIVO,泡泡龙,DEFAULT,1
1122,bubble shooter - 传音官包-传音参数,泡泡龙,DEFAULT,1
1127,Home Defense - Zombie Siege - shareit,Home Defense,DEFAULT,2
1128,bubble shooter - shareit google包,泡泡龙,DEFAULT,1
1134,bubble shooter - 传音 - 接入短代,泡泡龙,DEFAULT,1
1136,BubbleShooter-globalbattle 接ironsource,泡泡龙,DEFAULT,1
1143,Digger to Riches,Digger to Riches,DEFAULT,2
1148,Rummy Raja,Rummy,北京艾棋,1
1150,Solitaire Tripeaks,Solitaire Tripeaks,DEFAULT,1
1155,Bubble Shooter-catappult,泡泡龙,DEFAULT,1
1156,Bubble Shooter-catappult,泡泡龙,DEFAULT,1
1163,Bubble Shooter-catappult,泡泡龙,DEFAULT,1
1170,Bubble Shooter-Google合并,泡泡龙,DEFAULT,1
1177,HomeDefense-传音,Home Defense,DEFAULT,1
1184,HomeDefense-传音,Home Defense,DEFAULT,1
1185,Cooking Tile,Cooking Tile,DEFAULT,2
1190,测试缓存应用,测试应用,DEFAULT,1
1197,测试缓存问题,测试应用,DEFAULT,1
1199,Auto Tycoon上架Google,车业大亨,DEFAULT,1
1205,匿名名称,海外 MOBA 产品,网龙,1
1212,Pop Witch And Friends,泡泡龙对战,DEFAULT,2
1218,英魂之刃,海外 MOBA 产品,DEFAULT,2
1219,Bullet Angel申请推荐,Bullet Angel,DEFAULT,1
1225,luckywheel,luckywheel,DEFAULT,1
1232,Durak,Durak,DEFAULT,1
1233,Bubble Shooter With Friends,泡泡龙闯关,DEFAULT,2
1239,武林闲侠,武林闲侠,DEFAULT,1
1240,Beat Party,音舞,DEFAULT,1
1246,Bubble King,泡泡龙对战,DEFAULT,2
1248,Truco,Truco,南昌光速科技,2
